Date,BBCA,BBRI,BMRI,BBNI
2015-02-25 00:00:00+07:00,2203.211669921875,1354.33447265625,1709.662841796875,2245.67724609375
2015-02-26 00:00:00+07:00,2199.3056640625,1356.9544677734375,1706.0714111328125,2229.5791015625
2015-02-27 00:00:00+07:00,2203.211669921875,1349.09521484375,1724.0299072265625,2213.481201171875
2015-03-02 00:00:00+07:00,2222.744384765625,1356.9544677734375,1724.0299072265625,2205.431640625
2015-03-03 00:00:00+07:00,2250.089111328125,1349.09521484375,1709.662841796875,2149.08837890625
2015-03-04 00:00:00+07:00,2253.995361328125,1343.856201171875,1702.4793701171875,2141.03955078125
2015-03-05 00:00:00+07:00,2265.714599609375,1346.475830078125,1698.8876953125,2149.08837890625
2015-03-06 00:00:00+07:00,2281.34033203125,1370.0521240234375,1738.3968505859375,2181.284912109375
2015-03-09 00:00:00+07:00,2246.182373046875,1354.33447265625,1695.2962646484375,2157.137939453125
2015-03-10 00:00:00+07:00,2253.995361328125,1349.09521484375,1727.62158203125,2173.236083984375
2015-03-11 00:00:00+07:00,2230.556884765625,1346.475830078125,1706.0714111328125,2157.137939453125
2015-03-12 00:00:00+07:00,2218.838623046875,1351.71484375,1709.662841796875,2165.186767578125
2015-03-13 00:00:00+07:00,2203.211669921875,1335.997314453125,1709.662841796875,2173.236083984375
2015-03-16 00:00:00+07:00,2211.02490234375,1351.71484375,1724.0299072265625,2229.5791015625
2015-03-17 00:00:00+07:00,2203.211669921875,1354.33447265625,1720.438232421875,2221.530029296875
2015-03-18 00:00:00+07:00,2222.744384765625,1359.57373046875,1716.846435546875,2237.6279296875
2015-03-19 00:00:00+07:00,2226.650634765625,1367.4324951171875,1752.7637939453125,2253.726318359375
2015-03-20 00:00:00+07:00,2238.369384765625,1351.71484375,1752.7637939453125,2237.6279296875
